Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
9592,Mother Night,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385334141""","=""9780385334143""",4,4.22,Dial Press,Paperback,282,1999,1961,2023/08/10,2023/08/11,2023,2023 (#8),read,,,,1,0
135479,Cat's Cradle,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0140285601""","=""9780140285604""",0,4.16,Penguin,Paperback,179,1999,1963,,2023/08/11,to-read,to-read (#12),to-read,,,,0,0
55829194,The Final Girl Support Group,Grady Hendrix,"Hendrix, Grady",,"=""059320123X""","=""9780593201237""",3,3.53,Berkley,Hardcover,352,2021,2021,,2023/04/02,2023,2023 (#7),read,,,,1,0
36124936,The Outsider,Stephen King,"King, Stephen",,"=""1501180983""","=""9781501180989""",3,4.00,Scribner,Hardcover,561,2018,2018,,2023/04/02,2023,2023 (#6),read,,,,1,0
48749235,Story of Your Life,Ted Chiang,"Chiang, Ted",,"=""""","=""""",5,4.47,,ebook,46,,1998,,2023/03/01,2023,2023 (#5),read,,,,1,0
55753226,Six Crimson Cranes (Six Crimson Cranes #1),Elizabeth Lim,"Lim, Elizabeth",,"=""""","=""""",2,4.23,Knopf Books for Young Readers ,Kindle Edition,464,2021,2021,2022/05/02,2022/05/02,,,read,,,,1,0
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385333846""","=""9780385333849""",5,4.09,Dial Press,Paperback,275,1999,1969,,2023/02/14,2023,2023 (#4),read,,,,1,0
33385229,They Both Die at the End,Adam Silvera,"Silvera, Adam",,"=""0062457799""","=""9780062457790""",2,3.78,Quill Tree Books,Hardcover,389,2017,2017,2023/01/27,2023/01/29,2023,2023 (#2),read,,,,1,0
194746,No Longer Human,Osamu Dazai,"Dazai, Osamu",Donald Keene,"=""""","=""""",3,4.02,New Directions,Paperback,177,1958,1948,,2023/02/14,,,read,,,,1,0
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",5,4.19,Houghton Mifflin Harcourt,Kindle Edition,298,2013,1949,2020/07/14,2020/09/01,"owned, 2020, 2023, reread","owned (#1), 2020 (#26), 2023 (#3), reread (#2)",read,,,,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",5,4.52,Ballantine Books,Hardcover,476,2021,2021,,2023/01/20,"2023, reread","2023 (#1), reread (#1)",read,,,,1,0
9014,The Long Walk,Richard Bachman,"Bachman, Richard",Stephen King,"=""0451196716""","=""9780451196712""",4,4.09,Berkley,Mass Market Paperback,370,1999,1979,,2022/12/23,,,read,,,,1,0
22822858,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,"=""""","=""""",5,4.34,Doubleday,Hardcover,720,2015,2015,2022/12/19,2022/12/19,,,read,,,,1,0
10644930,11/22/63,Stephen King,"King, Stephen",,"=""1451627289""","=""9781451663839""",0,4.33,Scribner,Hardcover,849,2011,2011,,2022/12/18,to-read,to-read (#11),to-read,,,,0,0
39662,Different Seasons,Stephen King,"King, Stephen",,"=""0751514624""","=""9780751514629""",0,4.35,Warner Books,Mass Market Paperback,560,1995,1982,,2022/12/18,to-read,to-read (#10),to-read,,,,0,0
355697,All Quiet on the Western Front,Erich Maria Remarque,"Remarque, Erich Maria",Arthur Wesley Wheen,"=""0449213943""","=""9780449213940""",0,4.06,Ballantine Books,Mass Market Paperback,296,1928,1928,,2022/12/18,to-read,to-read (#9),to-read,,,,0,0
