Title,Author,ISBN,Average Rating,Publication Date,Rating
Assistant to the Villain,Hannah Nicole Maehrer,,3.99,,0
House of Ash and Shadow,Leia Stone,,4.40,,0
Pinky Promise,Rebecca Rennick,,4.08,,0
War of the Dragon: a Dragon Fantasy Adventure,Jasmine Walt,,4.50,,0
Call of the Dragon: a dragon fantasy adventure,Jasmine Walt,,4.34,,0
Promised in Fire,Jasmine Walt,,3.91,,0
Savage Magic Academy,Avery Free,,4.02,,0
Battle in the Dark,Jada Fisher,,4.65,,0
Trapped in the Dark,Jada Fisher,,4.60,,0
Secrets in the Dark,Jada Fisher,,4.68,,0
Monsters in the Dark,Jada Fisher,,4.69,,0
Darkness in the Light,Jada Fisher,,4.60,,0
Fated,K.M. Shea,,4.38,,0
The King's Shadow,K.M. Shea,,4.35,,0
Hunted,K.M. Shea,,4.32,,0
The King's Captive,K.M. Shea,,4.29,,0
Court of Midnight and Deception: The Complete Trilogy,K.M. Shea,,4.70,,0
Hall of Blood and Mercy: The Complete Trilogy,K.M. Shea,,4.71,,0
The Forbidden Wolf King,Leia Stone,,4.24,,0
Light for the Darkness,Jada Fisher,,4.76,,0
House of Striking Oaths,Olivia Wildenstein,,4.03,,0
Naming of the Queen,JJ Makenzie,,4.13,,0
Identity,Nora Roberts,,4.39,,0
Fourth Wing,Rebecca Yarros,,4.65,,0
A Man Called Ove,Fredrik Backman,,4.38,,0
The Ruthless Fae King,Leia Stone,,4.23,,0
A Dawn of Onyx,Kate Golden,,4.03,,0
The King's Queen,K.M. Shea,,4.38,,0
Encore in Death,J.D. Robb,,4.42,,0
The Unbound Witch,Miranda Lyn,,3.90,,0
Desperation in Death,J.D. Robb,,4.59,,0
Ambrosia,C.N. Crawford,,3.85,,0
House of Pounding Hearts,Olivia Wildenstein,,4.19,,0
A Cage So Gilded,Ingrid Seymour,,4.03,,0
Obliteration,Leia Stone,,4.53,,0
Domination,Leia Stone,,4.46,,0
Rising,Leia Stone,,4.37,,0
A Tune to Make Them Follow,T.A. Lawrence,,4.03,,0
A Word so Fitly Spoken,T.A. Lawrence,,3.72,,0
Dragon Found,Sam Hall,,4.29,,0
After the Bite,Lynsay Sands,,4.30,,0
The Duke Alone,Christi Caldwell,,4.09,,0
The Broken Elf King,Leia Stone,,4.25,,0
Firstborn: The Complete Series,Isla Frost,,4.43,,0
A Court of Crows,Eliza Eveland,,3.92,,0
A Game of Masks,Eliza Eveland,,4.29,,0
A Thread of Gold,Eliza Eveland,,4.51,,0
Of Mist and Shadow,Jenna Wolfhart,,3.80,,0
What Lies Beyond the Veil,Harper L. Woods,,3.67,,0
What Hunts Inside the Shadows,Harper L. Woods,,3.89,,0
Through Battle and Blades,Sam Hall,,4.34,,0
With Fangs and Claws,Sam Hall,,4.32,,0
The Queen With No Name,JJ Makenzie,,4.04,,0
Fallen Feather,Merri Bright,,4.34,,0
Lost Feather,Merri Bright,,4.33,,0
Court of Shadows,C.N. Crawford,,4.14,,0
Court of Blood and Bindings,Lisette Marshall,,4.08,,0
Lord of Gold and Glory,Lisette Marshall,,4.28,,0
Court of Ravens and Ruin,Eliza Raine,,3.91,,0
The Unmarked Witch,Miranda Lyn,,4.09,,0
House of Beating Wings,Olivia Wildenstein,,4.13,,0
The Sin of Saints,Lauren M. Leasure,,3.96,,0
The Alpha's Fated Encounter,Roxie Ray,,3.97,,0
The Last Dragon King,Leia Stone,,3.78,,0
A Throne of Shadows,Tessonja Odette,,4.04,,0
Bloodmarked,Tracy Deonn,,4.36,,0
